gameID,title,minPlayers,maxPlayers,maxPlaytime,minPlaytime,yearPublished
G136,"The Crew: The Quest for Planet Nine",2,5,20,20,2019
G137,"Crossfire",5,10,10,5,2017
G138,"Crusaders: Thy Will Be Done",2,4,60,40,2018
G139,"Cuckoo Zoo",2,10,20,20,2002
G140,"Cutthroat Caverns",3,6,90,90,2007
G141,"CV",2,4,60,60,2013
G142,"Dairyman",2,4,30,20,2016
G143,"Dead Cells: The Rogue-Lite Board Game",1,4,45,45,2024
G144,"Dead of Winter: A Crossroads Game",2,5,120,60,2014
G145,"Dead of Winter: The Long Night",2,5,120,60,2016
G146,"Deadwood",2,5,60,30,2011
G147,"Deception: Murder in Hong Kong",4,12,20,20,2014
G148,"Decrypto",3,8,45,15,2018
G149,"Defenders of the Realm",1,4,90,90,2010
G150,"Demon Worker",3,4,45,45,2016
G151,"Deus",2,4,90,60,2014
G152,"Diabolo",3,5,30,30,2006
G153,"Diamant",3,8,40,20,2005
G154,"Dice Forge",2,4,45,45,2017
G155,"Dice Manor",2,4,45,30,2023
G156,"Dice Town",2,5,45,45,2009
G157,"Discoveries: The Journals of Lewis & Clark",2,4,60,60,2015
G158,"Discworld: Ankh-Morpork",2,4,60,60,2011
G159,"Dive! Diver! Die!",3,5,45,45,2010
G160,"Dixit",3,6,30,30,2008
G161,"Dixit: Odyssey",3,12,30,30,2011
G162,"Dog Lover",2,4,30,30,2021
G163,"Dominion",2,4,30,30,2008
G164,"Dominion: Intrigue",2,6,30,30,2009
G165,"Don't Mess with Cthulhu Deluxe",4,8,30,1,2018
G166,"DONUTS",2,2,15,10,2023
G167,"Downforce",2,6,40,20,2017
G168,"Dr. Eureka",2,4,15,15,2015
G169,"Draftosaurus",2,5,15,15,2019
G170,"Dragon's Gold",3,6,45,45,2001
G171,"Dragonkeepers",2,4,20,20,2023
G172,"Drakon",2,6,20,20,2001
G173,"Dream Home",2,4,30,30,2016
G174,"Drop It",2,4,30,30,2018
G175,"Drum Roll",2,4,90,90,2011
G176,"Dungeon Fighter",1,6,60,45,2011
G177,"Dungeon Petz",2,4,90,90,2011
G178,"Dungeons & Dragons: Rock Paper Wizard",3,6,30,30,2016
G179,"Dutch Blitz",2,4,15,1,1960
G180,"The Dutch Golden Age",3,4,60,60,2008
G181,"Earth",1,5,90,45,2023
G182,"Eclipse: New Dawn for the Galaxy",2,6,180,60,2011
G183,"Ecos: First Continent",2,6,75,45,2019
G184,"Elder Sign",1,8,90,90,2011
G185,"Eldritch Horror",1,8,240,120,2013
G186,"Elfenland",2,6,60,60,1998
G187,"Elysium",2,4,60,60,2015
G188,"Eminent Domain: Microcosm",2,2,15,15,2014
G189,"Empire Builder",2,6,180,180,1982
G190,"Empire's End",2,4,60,45,2023
G191,"Endeavor: Age of Sail",2,5,90,60,2018
G192,"Entropy",2,6,15,15,2015
G193,"Eruption",2,6,60,30,2011
G194,"Escape from the Aliens in Outer Space",2,8,45,20,2010
G195,"Escape Room: The Game",3,5,60,60,2016
G196,"Ethnos",2,6,60,45,2017
G197,"Eurorails",2,6,240,180,1990
G198,"Evolution",2,6,60,60,2014
G199,"Evolution: Climate",2,6,60,60,2016
G200,"Expedition Altiplano",2,2,30,30,2006
G201,"Explorers of Navoria",2,4,80,40,2024
G202,"Fallout Shelter: The Board Game",2,4,90,60,2020
G203,"Family Business",2,6,30,30,1982
G204,"Fantastic Factories",1,5,60,45,2019
G205,"Fantasy Realms",2,6,20,20,2017
G206,"Fidelitas",1,4,30,30,2015
G207,"First Empires",2,5,60,45,2022
G208,"First Rat",1,5,75,30,2022
G209,"Fjords",1,2,30,30,2005
